OID_,OID1,rgi_id,area_km2,termlon,termlat,lake_term,image_id,image_date
11,,RGI2000-v7.0-G-15-12754,0.030317983769800,96.798536747599996,29.746093653399999,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
12,,RGI2000-v7.0-G-15-12755,0.022370275969000,96.802716364399998,29.746098941900001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
13,,RGI2000-v7.0-G-15-12756,0.088459063575400,96.808546082899994,29.734342663600000,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
14,,RGI2000-v7.0-G-15-12757,0.066377585434200,96.812035407500005,29.731860165000001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
15,,RGI2000-v7.0-G-15-12758,0.134332778459000,96.807267850299993,29.763394771400002,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
16,,RGI2000-v7.0-G-15-12759,0.034141405284900,96.818343768000005,29.769315474799999,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
17,,RGI2000-v7.0-G-15-12760,0.142564072285000,96.845559368200000,29.789047031700001,3,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
18,,RGI2000-v7.0-G-15-12761,0.058170460061600,96.838114727100006,29.793123955199999,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
19,,RGI2000-v7.0-G-15-12762,0.087815468308400,96.833821184599998,29.798799650199999,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
20,,RGI2000-v7.0-G-15-12763,0.106991323060000,96.864196195800005,29.804296991800001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
21,,RGI2000-v7.0-G-15-12764,0.145075719804000,96.873163044199998,29.792654942700000,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
22,,RGI2000-v7.0-G-15-12765,0.209233792745000,96.868046925599998,29.788823523700000,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
23,,RGI2000-v7.0-G-15-12766,0.039275587438000,96.866091539999999,29.786469048299999,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
24,,RGI2000-v7.0-G-15-12767,0.083424907735700,96.862147697099999,29.784556071299999,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
25,,RGI2000-v7.0-G-15-12768,0.062403449852300,96.853443959000003,29.771771646000001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
26,,RGI2000-v7.0-G-15-12769,0.092265563159200,96.848868606300002,29.758750562100001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
27,,RGI2000-v7.0-G-15-12770,0.041777236245500,96.855279052699998,29.757191000999999,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
28,,RGI2000-v7.0-G-15-12771,0.186831132459000,96.858203940099997,29.751469938500001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
29,,RGI2000-v7.0-G-15-12772,0.251278762446000,96.860203625099999,29.739662463700000,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
30,,RGI2000-v7.0-G-15-12773,0.048178903202900,96.857230823300000,29.731702711299999,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
31,,RGI2000-v7.0-G-15-12774,0.091955075032500,96.849565875799996,29.732467948299998,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
32,,RGI2000-v7.0-G-15-12775,0.155447343651000,96.850502915400000,29.724870316899999,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
33,,RGI2000-v7.0-G-15-12776,0.096765290460500,96.850653091599995,29.713312655900001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
34,,RGI2000-v7.0-G-15-12777,0.058889718890900,96.847318889099995,29.710526770000001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
35,,RGI2000-v7.0-G-15-12778,0.024404027450300,96.904280215300005,29.725169919300001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
36,,RGI2000-v7.0-G-15-12779,0.193603876293000,96.906796249999999,29.727111214000001,0,LE07_L1TP_134039_20000716_20200917_02_T1,7/16/2000 0:00:00
